Pogram,Program Code,Program Type,Major CIP,CIP Area,Degee,Major,Marjo Code,Students AY 2025,FY 2022 Grads,Wages Found,Median Wages,FY 24 Grads,Transferred in 1 Year,Median Hourly,5 Year Job Change,Articulations,Labor Market Analysis
Geospatial Technology: AAS,GIST-AAS,Workforce,450702,Geographic Info Science,AAS,Geospatial Technology,GIST,6,1,0,,0,0,48.21,0.16,0,"Current demand: 23,191 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 27,117 jobs by 2030 (17%), a net change of 3,926; national-trend adjustment suggests 2,923. Earnings: average annual pay ranges from $56,663 to $93,269 across mapped roles; top-paying role locally is Geographers ($93,269). Typical education: Bachelor's degree. Completions: 25,963 regional graduates in 2024 (SLCC: 2,606), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Managers, All Other (22,545 jobs, $92,689); Surveying and Mapping Technicians (463 jobs, $56,663). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Graphic Communications: AS,VAGC-AS,Transfer,100303,Electronic Publishing (VAD),AS,Graphic Communications,VAGC,186,0,0,,33,18,30.25,0.18,0,"Current demand: 301 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 296 jobs by 2030 (-1%), a net change of -4; national-trend adjustment suggests -35. Earnings: average annual pay ranges from $38,360 to $68,008 across mapped roles; top-paying role locally is Desktop Publishers ($68,008). Typical education: Associate's degree. Completions: 1,059 regional graduates in 2024 (SLCC: 204), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Prepress Technicians and Workers (262 jobs, $38,360); Desktop Publishers (39 jobs, $68,008). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Graphic Communications: CER,VAGC-CER,Workforce,100303,Electronic Publishing (VAD),CER,Graphic Communications,VAGC,14,40,30,33588.5,34,1,30.25,0.18,0,"Current demand: 301 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 296 jobs by 2030 (-1%), a net change of -4; national-trend adjustment suggests -35. Earnings: average annual pay ranges from $38,360 to $68,008 across mapped roles; top-paying role locally is Desktop Publishers ($68,008). Typical education: Associate's degree. Completions: 1,059 regional graduates in 2024 (SLCC: 204), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Prepress Technicians and Workers (262 jobs, $38,360); Desktop Publishers (39 jobs, $68,008). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
"Heat, Vent, Air-Cond & Rf: AAS",HVAC-AAS,Workforce,470201,"Heating, Ventilation/Air Cond",AAS,Heat Vent AirCond and Ref-Appr,HVAC,34,0,0,,1,0,32.59,0.15,0,"Current demand: 4,719 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 5,545 jobs by 2030 (18%), a net change of 826; national-trend adjustment suggests 438. Earnings: average annual pay ranges from $62,094 to $62,094 across mapped roles; top-paying role locally is Heating, Air Conditioning, and Refrigeration Mechanics and Installers ($62,094). Typical education: Postsecondary nondegree award. Completions: 72 regional graduates in 2024 (SLCC: 3), indicating a likely talent shortfall relative to net growth. Highlighted occupations: Heating, Air Conditioning, and Refrigeration Mechanics and Installers (4,719 jobs, $62,094). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
History: AA,HIS-AA,Transfer,540101,"History, General",AA,History,HIS,129,0,0,,9,6,40.09,0.1,1,"Current demand: 30,099 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 34,631 jobs by 2030 (15%), a net change of 4,531; national-trend adjustment suggests 3,045. Earnings: average annual pay ranges from $71,566 to $92,689 across mapped roles; top-paying role locally is Managers, All Other ($92,689). Typical education: Bachelor's degree. Completions: 29,938 regional graduates in 2024 (SLCC: 2,687), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Managers, All Other (22,545 jobs, $92,689); Secondary School Teachers, Except Special and Career/Technical Education (7,554 jobs, $71,566). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Hospitality Management: AS,HOSP-AS,Transfer,520909,"Hotel, Motel, & Restaurant Mgt",AS,Hospitality Management,HOSP,35,0,0,,1,1,21.47,0.14,3,"Current demand: 3,689 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 4,102 jobs by 2030 (11%), a net change of 413; national-trend adjustment suggests 270. Earnings: average annual pay ranges from $55,943 to $67,321 across mapped roles; top-paying role locally is Lodging Managers ($67,321). Typical education: High school diploma or equivalent. Completions: 571 regional graduates in 2024 (SLCC: 18), indicating a roughly balanced graduate pipeline relative to net growth. Highlighted occupations: Food Service Managers (2,775 jobs, $55,943); Lodging Managers (914 jobs, $67,321). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Humanities: AA,HU-AA,Transfer,240103,"Humanities, Humanistic Studies",AA,Humanities,HU,5,0,0,,0,0,32.44,0.15,0,No data available
Humanities: AA,HUMA-AA,Transfer,240103,"Humanities, Humanistic Studies",AA,Humanities,HUMA,51,0,0,,0,0,32.44,0.15,0,No data available
Humanities: AS,HUMA-AS,Transfer,240103,"Humanities, Humanistic Studies",AS,Humanities,HUMA,111,0,0,,1,0,32.44,0.15,0,No data available
HVACR Technician,TEAC-CP,Workforce,470201,"Heating, Ventilation/Air Cond",CP,Air Condition Heat Refrigertn,TEAC,1,0,0,,0,0,32.59,0.15,0,"Current demand: 4,719 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 5,545 jobs by 2030 (18%), a net change of 826; national-trend adjustment suggests 438. Earnings: average annual pay ranges from $62,094 to $62,094 across mapped roles; top-paying role locally is Heating, Air Conditioning, and Refrigeration Mechanics and Installers ($62,094). Typical education: Postsecondary nondegree award. Completions: 72 regional graduates in 2024 (SLCC: 3), indicating a likely talent shortfall relative to net growth. Highlighted occupations: Heating, Air Conditioning, and Refrigeration Mechanics and Installers (4,719 jobs, $62,094). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Information Technology: CP,TEIT-CP,Workforce,110901,Computer Sys Network/Telecomm,CP,Information Technology,TEIT,89,0,0,,0,0,51.92,0.18,0,"Current demand: 15,173 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 18,516 jobs by 2030 (22%), a net change of 3,344; national-trend adjustment suggests 1,876. Earnings: average annual pay ranges from $77,465 to $167,421 across mapped roles; top-paying role locally is Computer and Information Systems Managers ($167,421). Typical education: Bachelor's degree. Completions: 53,728 regional graduates in 2024 (SLCC: 2,229), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Computer and Information Systems Managers (7,704 jobs, $167,421); Computer Systems Analysts (3,162 jobs, $98,018). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Interdisciplinary Studies: AS,IDS-AS,Transfer,300000,Multi/Interdisciplinary Study,AS,Interdisciplinary Studies,IDS,1,0,0,,1,1,29.2,0.1,0,"Current demand: 15,147 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 17,611 jobs by 2030 (16%), a net change of 2,463; national-trend adjustment suggests 2,516. Earnings: average annual pay ranges from $97,570 to $97,570 across mapped roles; top-paying role locally is Unclassified Occupation ($97,570). Completions: 80 regional graduates in 2024 (SLCC: 1), indicating a likely talent shortfall relative to net growth. Highlighted occupations: Unclassified Occupation (15,147 jobs, $97,570). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Interior Design:  AAS,IND-AAS,Workforce,500408,Interior Design,AAS,Interior Design,IND,260,26,14,37680,31,1,27.25,0.12,0,"Current demand: 1,533 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 1,774 jobs by 2030 (16%), a net change of 241; national-trend adjustment suggests 173. Earnings: average annual pay ranges from $72,467 to $72,467 across mapped roles; top-paying role locally is Interior Designers ($72,467). Typical education: Bachelor's degree. Completions: 106 regional graduates in 2024 (SLCC: 31), indicating a likely talent shortfall relative to net growth. Highlighted occupations: Interior Designers (1,533 jobs, $72,467). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
International & Global Stdy:AA,IGS-AA,Transfer,302001,International/Global Studies,AA,International Global Studies,IGS,3,0,0,,3,1,40.35,0.13,0,No data available
International Studies: AA,INTL-AA,Transfer,302001,International/Global Studies,AA,International Studies,INTL,44,0,0,,2,1,40.35,0.13,2,No data available
Journalism & Digital Media: AS,JDM-AS,Transfer,090402,Broadcast Journalism,AS,Journalism Digital Media,JDM,96,0,0,,16,7,30.89,0.17,3,"Current demand: 6,408 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 6,969 jobs by 2030 (9%), a net change of 561; national-trend adjustment suggests 323. Earnings: average annual pay ranges from $64,079 to $91,515 across mapped roles; top-paying role locally is Broadcast Announcers and Radio Disc Jockeys ($91,515). Typical education: Bachelor's degree. Completions: 4,211 regional graduates in 2024 (SLCC: 371), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Writers and Authors (4,131 jobs, $65,889); Editors (1,535 jobs, $64,823). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Low Voltage Technician App: CP,TELV-CP,Workforce,470103,Comm Systems Install Repair,CP,Low Voltage Technician Appr,TELV,7,0,0,,0,0,32.22,-0.12,0,"Current demand: 3,713 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 3,765 jobs by 2030 (1%), a net change of 52; national-trend adjustment suggests 117. Earnings: average annual pay ranges from $58,466 to $76,696 across mapped roles; top-paying role locally is Radio, Cellular, and Tower Equipment Installers and Repairers ($76,696). Typical education: High school diploma or equivalent. Completions: 609 regional graduates in 2024 (SLCC: 22), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Telecommunications Equipment Installers and Repairers, Except Line Installers (2,122 jobs, $64,343); Telecommunications Line Installers and Repairers (813 jobs, $63,435). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Machining Technology: CER,EDMA-CER,Workforce,480510,CNC Machinist,CER,Machining Technology,EDMA,1,2,2,52710,3,2,22.6,0.1,0,"Current demand: 751 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 854 jobs by 2030 (14%), a net change of 103; national-trend adjustment suggests -5. Earnings: average annual pay ranges from $49,031 to $73,170 across mapped roles; top-paying role locally is Computer Numerically Controlled Tool Programmers ($73,170). Typical education: High school diploma or equivalent. Completions: 296 regional graduates in 2024 (SLCC: 80), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Computer Numerically Controlled Tool Operators (640 jobs, $49,031); Computer Numerically Controlled Tool Programmers (111 jobs, $73,170). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Manual Machinist:CA,TEMM-CA,Workforce,480501,Machine Tool Tech/Machinist,CA,Manual Machinist,TEMM,22,0,0,,7,0,28.17,0.13,0,"Current demand: 5,180 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 5,699 jobs by 2030 (10%), a net change of 519; national-trend adjustment suggests 90. Earnings: average annual pay ranges from $40,860 to $60,688 across mapped roles; top-paying role locally is Layout Workers, Metal and Plastic ($60,688). Typical education: High school diploma or equivalent. Completions: 1,734 regional graduates in 2024 (SLCC: 725), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Machinists (2,231 jobs, $59,350); Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic (995 jobs, $40,860). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Marketing Management: AAS,MM-AAS,Workforce,521401,"Marketing/Mkt Mgt, General",AAS,Marketing Management,MM,98,4,3,67990,1,0,44.46,0.13,0,"Current demand: 30,206 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 34,342 jobs by 2030 (14%), a net change of 4,136; national-trend adjustment suggests 2,955. Earnings: average annual pay ranges from $64,878 to $147,010 across mapped roles; top-paying role locally is Sales Managers ($147,010). Typical education: Bachelor's degree. Completions: 54,282 regional graduates in 2024 (SLCC: 4,242), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Market Research Analysts and Marketing Specialists (13,609 jobs, $76,787); Sales Managers (7,745 jobs, $147,010). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Master Auto Service Tech: AAS,MAST-AAS,Workforce,470604,Automobile/Auto Mechanics,AAS,Master Auto Service Tech,MAST,64,0,0,,2,0,28.88,0.09,0,"Current demand: 8,467 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 9,583 jobs by 2030 (13%), a net change of 1,116; national-trend adjustment suggests 754. Earnings: average annual pay ranges from $52,749 to $80,811 across mapped roles; top-paying role locally is Electrical and Electronics Installers and Repairers, Transportation Equipment ($80,811). Typical education: Postsecondary nondegree award. Completions: 670 regional graduates in 2024 (SLCC: 217), indicating a roughly balanced graduate pipeline relative to net growth. Highlighted occupations: Automotive Service Technicians and Mechanics (8,331 jobs, $52,773); Electronic Equipment Installers and Repairers, Motor Vehicles (75 jobs, $52,749). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Mathematics: AS,MATH-AS,Transfer,270101,"Mathematics, General",AS,Mathematics,MATH,89,0,0,,4,3,38.67,0.14,2,"Current demand: 13,214 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 15,344 jobs by 2030 (16%), a net change of 2,130; national-trend adjustment suggests 1,383. Earnings: average annual pay ranges from $69,762 to $133,182 across mapped roles; top-paying role locally is Natural Sciences Managers ($133,182). Typical education: Bachelor's degree. Completions: 8,291 regional graduates in 2024 (SLCC: 189), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Secondary School Teachers, Except Special and Career/Technical Education (7,554 jobs, $71,566); Data Scientists (4,559 jobs, $120,453). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Mechanical Engr Technology: AS,MECH-AS,Transfer,150805,Mech Engin/Mechan Tech/Technic,AS,Mechanical Engineering Technol,MECH,2,0,0,,0,0,28.73,0.12,0,"Current demand: 1,628 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 1,741 jobs by 2030 (7%), a net change of 113; national-trend adjustment suggests 44. Earnings: average annual pay ranges from $56,459 to $68,521 across mapped roles; top-paying role locally is Mechanical Drafters ($68,521). Typical education: Associate's degree. Completions: 201 regional graduates in 2024 (SLCC: 32), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Mechanical Engineering Technologists and Technicians (871 jobs, $61,975); Mechanical Drafters (450 jobs, $68,521). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Media Music: AAS,MUMM-AAS,Workforce,500913,Music Technology,AAS,Media Music,MUMM,12,2,1,45673,2,0,17.48,0.1,0,"Current demand: 1,611 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 1,794 jobs by 2030 (11%), a net change of 182; national-trend adjustment suggests 122. Earnings: average annual pay ranges from $51,851 to $76,014 across mapped roles; top-paying role locally is Disc Jockeys, Except Radio ($76,014). Typical education: Bachelor's degree. Completions: 571 regional graduates in 2024 (SLCC: 39), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Music Directors and Composers (785 jobs, $70,667); Sound Engineering Technicians (417 jobs, $51,851). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Media Studies & Journalism: AS,MSJO-AS,Transfer,090402,Broadcast Journalism,AS,Media Studies & Journalism,MSJO,1,0,0,,1,1,30.89,0.17,0,"Current demand: 6,408 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 6,969 jobs by 2030 (9%), a net change of 561; national-trend adjustment suggests 323. Earnings: average annual pay ranges from $64,079 to $91,515 across mapped roles; top-paying role locally is Broadcast Announcers and Radio Disc Jockeys ($91,515). Typical education: Bachelor's degree. Completions: 4,211 regional graduates in 2024 (SLCC: 371), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Writers and Authors (4,131 jobs, $65,889); Editors (1,535 jobs, $64,823). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Medical Assistant: CER,MA-CER,Workforce,510801,Medical Assistant,CER,Medical Assistant,MA,1,1,1,33708,0,0,21.55,0.14,0,"Current demand: 7,053 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 8,306 jobs by 2030 (18%), a net change of 1,252; national-trend adjustment suggests 849. Earnings: average annual pay ranges from $43,107 to $43,107 across mapped roles; top-paying role locally is Medical Assistants ($43,107). Typical education: Postsecondary nondegree award. Completions: 686 regional graduates in 2024 (SLCC: 21), indicating a roughly balanced graduate pipeline relative to net growth. Highlighted occupations: Medical Assistants (7,053 jobs, $43,107). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Medical Assistant: CP,TEMA-CP,Workforce,510801,Medical Assistant,CP,Clinical Medical Assistant,TEMA,164,0,0,,0,0,21.55,0.14,0,"Current demand: 7,053 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 8,306 jobs by 2030 (18%), a net change of 1,252; national-trend adjustment suggests 849. Earnings: average annual pay ranges from $43,107 to $43,107 across mapped roles; top-paying role locally is Medical Assistants ($43,107). Typical education: Postsecondary nondegree award. Completions: 686 regional graduates in 2024 (SLCC: 21), indicating a roughly balanced graduate pipeline relative to net growth. Highlighted occupations: Medical Assistants (7,053 jobs, $43,107). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Medical Coding & Billing: CC,TEMC-CC,Workforce,510713,Medical Coding Procedures,CC,Medical Coding and Billing,TEMC,107,0,0,,0,0,21.91,0.09,0,"Current demand: 1,768 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 2,071 jobs by 2030 (17%), a net change of 303; national-trend adjustment suggests 175. Earnings: average annual pay ranges from $56,754 to $72,025 across mapped roles; top-paying role locally is Health Information Technologists and Medical Registrars ($72,025). Typical education: Postsecondary nondegree award. Completions: 796 regional graduates in 2024 (SLCC: 115), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Medical Records Specialists (1,368 jobs, $56,754); Health Information Technologists and Medical Registrars (400 jobs, $72,025). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Micro-/Nanotechnology: CP,MINO-CP,Workforce,450702,Geographic Info Science,CP,Micro-/Nanotechnology,MINO,1,0,0,,0,0,48.21,0.16,0,"Current demand: 23,191 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 27,117 jobs by 2030 (17%), a net change of 3,926; national-trend adjustment suggests 2,923. Earnings: average annual pay ranges from $56,663 to $93,269 across mapped roles; top-paying role locally is Geographers ($93,269). Typical education: Bachelor's degree. Completions: 25,963 regional graduates in 2024 (SLCC: 2,606), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Managers, All Other (22,545 jobs, $92,689); Surveying and Mapping Technicians (463 jobs, $56,663). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Microscopy: CP,MICR-CP,Workforce,151601,Nanotechnology,CP,Microscopy,MICR,1,1,0,,1,0,39.73,0.19,0,"Current demand: 1,446 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 1,672 jobs by 2030 (16%), a net change of 226; national-trend adjustment suggests 95. Earnings: average annual pay ranges from $118,563 to $118,563 across mapped roles; top-paying role locally is Engineers, All Other ($118,563). Typical education: Bachelor's degree. Completions: 1,649 regional graduates in 2024 (SLCC: 38), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Engineers, All Other (1,446 jobs, $118,563). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
MIDI: CP,MIDI-CP,Workforce,100203,Recording Arts Technology,CP,MIDI,MIDI,7,4,2,30328,4,0,18.28,0.09,0,"Current demand: 2,944 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 3,292 jobs by 2030 (12%), a net change of 348; national-trend adjustment suggests 256. Earnings: average annual pay ranges from $47,119 to $76,014 across mapped roles; top-paying role locally is Disc Jockeys, Except Radio ($76,014). Typical education: Postsecondary nondegree award. Completions: 1,064 regional graduates in 2024 (SLCC: 96), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Audio and Video Technicians (2,118 jobs, $47,119); Sound Engineering Technicians (417 jobs, $51,851). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Mortuary Science: AAS,MORT-AAS,Workforce,120301,Funeral Svc & Mortuary Science,AAS,Mortuary Science,MORT,44,2,2,73402,10,0,25.55,0.14,0,"Current demand: 325 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 363 jobs by 2030 (12%), a net change of 39; national-trend adjustment suggests 23. Earnings: average annual pay ranges from $64,404 to $89,443 across mapped roles; top-paying role locally is Funeral Home Managers ($89,443). Typical education: Associate's degree. Completions: 30 regional graduates in 2024 (SLCC: 30), indicating a roughly balanced graduate pipeline relative to net growth. Highlighted occupations: Morticians, Undertakers, and Funeral Arrangers (211 jobs, $64,404); Funeral Home Managers (114 jobs, $89,443). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Motion Graph/Visual Effect: CP,VGVE-CP,Workforce,100304,"Animation, Interact Tech/Video",CP,Motion Graphics/Visual Effects,VGVE,4,3,2,24987.5,3,0,35.94,0.17,0,"Current demand: 945 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 1,050 jobs by 2030 (11%), a net change of 105; national-trend adjustment suggests 28. Earnings: average annual pay ranges from $54,567 to $54,567 across mapped roles; top-paying role locally is Special Effects Artists and Animators ($54,567). Typical education: Bachelor's degree. Completions: 1,075 regional graduates in 2024 (SLCC: 148), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Special Effects Artists and Animators (945 jobs, $54,567). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Motorcycle Outdoor Power Equi,MOTO-CER,Workforce,470611,Motorcycle Maintenance Repair,CER,Motorcycle & Outdoor Pow Equip,MOTO,9,0,0,,3,0,20.32,0.03,0,"Current demand: 173 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 186 jobs by 2030 (7%), a net change of 13; national-trend adjustment suggests 2. Earnings: average annual pay ranges from $44,692 to $44,692 across mapped roles; top-paying role locally is Motorcycle Mechanics ($44,692). Typical education: Postsecondary nondegree award. Completions: 154 regional graduates in 2024 (SLCC: 43), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Motorcycle Mechanics (173 jobs, $44,692). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Motorcycle/Outdr Pwr Equip: CP,MOTO-CP,Workforce,470611,Motorcycle Maintenance Repair,CP,Motorcycle & Outdoor Pow Equip,MOTO,2,5,4,39620,3,0,20.32,0.03,0,"Current demand: 173 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 186 jobs by 2030 (7%), a net change of 13; national-trend adjustment suggests 2. Earnings: average annual pay ranges from $44,692 to $44,692 across mapped roles; top-paying role locally is Motorcycle Mechanics ($44,692). Typical education: Postsecondary nondegree award. Completions: 154 regional graduates in 2024 (SLCC: 43), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Motorcycle Mechanics (173 jobs, $44,692). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Music Recording Tech: AAS,MRT-AAS,Workforce,100203,Recording Arts Technology,AAS,Music Recording Technology,MRT,59,8,8,39962,6,0,18.28,0.09,0,"Current demand: 2,944 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 3,292 jobs by 2030 (12%), a net change of 348; national-trend adjustment suggests 256. Earnings: average annual pay ranges from $47,119 to $76,014 across mapped roles; top-paying role locally is Disc Jockeys, Except Radio ($76,014). Typical education: Postsecondary nondegree award. Completions: 1,064 regional graduates in 2024 (SLCC: 96), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Audio and Video Technicians (2,118 jobs, $47,119); Sound Engineering Technicians (417 jobs, $51,851). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
Music Recording Tech: AAS,MRT-AAS,Workforce,500901,"Music, General",AAS,Music,MUS,1,0,0,,0,0,18.31,0.1,0,"Current demand: 11,169 jobs across Salt Lake, Utah, and Davis counties in 2024. Projected demand: 12,210 jobs by 2030 (9%), a net change of 1,042; national-trend adjustment suggests 349. Earnings: average annual pay ranges from $67,894 to $71,566 across mapped roles; top-paying role locally is Secondary School Teachers, Except Special and Career/Technical Education ($71,566). Typical education: Bachelor's degree. Completions: 5,243 regional graduates in 2024 (SLCC: 154), indicating an ample pipeline of graduates relative to net growth. Highlighted occupations: Secondary School Teachers, Except Special and Career/Technical Education (7,554 jobs, $71,566); Musicians and Singers (3,615 jobs, $67,894). Regional context: The Wasatch Front continues to add residents and jobs, with unemployment near 3% and strong demand driven by aerospace/defense in Davis County and tech and healthcare growth in Utah and Salt Lake counties."
